,species,chemical,log conc (mol/L),species_divisions,species_others,subClassOf,smiles,smiles_clusters
0,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/10025919,3.113193922471336,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Sb](Cl)Cl,1
1,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/10099748,4.947391735704052,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[N+](=O)([O-])O[Pb]O[N+](=O)[O-],0
2,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/12125018,1.0077235852549036,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,N.F,1
3,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/13762511,1.7324259285931696,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[BH4-].[K+],1
4,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/5329146,2.139740289110004,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,NS(=O)(=O)O,1
5,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/540727,1.908297320214084,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,C(#N)[S-].[Na+],1
6,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/592858,4.326227956757489,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,,-1
7,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7446084,4.571733479940816,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,O=[Se]=O,1
8,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7447394,5.7991395513617325,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Cu]Cl,1
9,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7487947,4.82966447819314,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Hg]Cl,1
10,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7601890,1.950585518663128,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[O-]Cl(=O)(=O)=O.[Na+],1
11,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7632000,2.8387400187738865,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,N(=O)[O-].[Na+],1
12,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7646799,3.1101551985252316,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Co]Cl,1
13,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7646857,2.319657539725997,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Zn]Cl,1
14,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7647145,1.1525671784139189,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[Na+].[Cl-],1
15,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7681529,3.4835356631264007,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[O-]Cl.[Na+],1
16,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7718549,3.3057488585185517,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Ni]Cl,1
17,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7733020,3.9733475868847714,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[O-]S(=O)(=O)[O-].[Zn+2],0
18,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7758023,3.071447657634495,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[K+].[Br-],1
19,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7758987,5.620148484853281,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[O-]S(=O)(=O)[O-].[Cu+2],0
20,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7761888,3.8662972601621477,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[N+](=O)([O-])[O-].[Ag+],0
21,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7778509,3.3174968804505403,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],0
22,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7783202,3.1206397284155662,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,N.N.OS(=O)(=O)O,1
23,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7787475,2.897352134344313,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[Be+2].[Cl-].[Cl-],0
24,https://cfpub.epa.gov/ecotox/taxon/1,https://cfpub.epa.gov/ecotox/cas/7789437,2.3766682850696834,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[Co](Br)Br,1
25,https://cfpub.epa.gov/ecotox/taxon/1009,https://cfpub.epa.gov/ecotox/cas/7487947,3.848997883642801,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,Cl[Hg]Cl,1
26,https://cfpub.epa.gov/ecotox/taxon/1025,https://cfpub.epa.gov/ecotox/cas/7758987,1.8374599847253952,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-]S(=O)(=O)[O-].[Cu+2],0
27,https://cfpub.epa.gov/ecotox/taxon/10472,https://cfpub.epa.gov/ecotox/cas/168316958,2.49874518555487,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C.CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C(=CC3C2CC(=O)O1)C)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C,3
28,https://cfpub.epa.gov/ecotox/taxon/106,https://cfpub.epa.gov/ecotox/cas/12125029,2.1413168089730434,https://cfpub.epa.gov/ecotox/group/Fish,,,N.Cl,1
29,https://cfpub.epa.gov/ecotox/taxon/106,https://cfpub.epa.gov/ecotox/cas/85007,3.8289061972623815,https://cfpub.epa.gov/ecotox/group/Fish,,,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.[Br-].[Br-],2
30,https://cfpub.epa.gov/ecotox/taxon/1075,https://cfpub.epa.gov/ecotox/cas/7487947,3.2577524378088025,https://cfpub.epa.gov/ecotox/group/Amphibians,,,Cl[Hg]Cl,1
31,https://cfpub.epa.gov/ecotox/taxon/10828,https://cfpub.epa.gov/ecotox/cas/7647145,0.31127306816536543,https://cfpub.epa.gov/ecotox/group/Amphibians,,,[Na+].[Cl-],1
32,https://cfpub.epa.gov/ecotox/taxon/109,https://cfpub.epa.gov/ecotox/cas/10102188,3.568154271243728,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[O-][Se](=O)[O-].[Na+].[Na+],0
33,https://cfpub.epa.gov/ecotox/taxon/109,https://cfpub.epa.gov/ecotox/cas/13463677,2.637365371771777,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,O=[Ti]=O,1
34,https://cfpub.epa.gov/ecotox/taxon/109,https://cfpub.epa.gov/ecotox/cas/7761888,6.905394926695134,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[N+](=O)([O-])[O-].[Ag+],0
35,https://cfpub.epa.gov/ecotox/taxon/1091,https://cfpub.epa.gov/ecotox/cas/6484522,0.7703735972173448,https://cfpub.epa.gov/ecotox/group/Amphibians,,,[NH4+].[N+](=O)([O-])[O-],0
36,https://cfpub.epa.gov/ecotox/taxon/1091,https://cfpub.epa.gov/ecotox/cas/7758987,3.218800731577971,https://cfpub.epa.gov/ecotox/group/Amphibians,,,[O-]S(=O)(=O)[O-].[Cu+2],0
